,carat,cut,color,clarity,depth,table,length,width,height,price
5331,0.84,Very Good,D,SI1,59.2,59.0,6.18,6.21,3.67,3809
46653,0.51,Ideal,D,VS2,61.9,57.0,5.11,5.13,3.17,1787
30251,0.26,Good,D,VVS2,63.6,56.0,4.09,4.06,2.59,724
15016,1.0,Premium,F,VS2,62.1,58.0,6.45,6.36,3.96,6047
29821,0.3,Premium,F,VS1,61.0,60.0,4.3,4.22,2.6,709
51548,0.51,Premium,D,VVS2,62.4,59.0,5.13,5.06,3.18,2387
34199,0.33,Ideal,F,VS2,62.3,55.0,4.47,4.42,2.77,854
5542,0.93,Ideal,I,SI1,62.5,55.0,6.23,6.29,3.91,3856
14335,1.1,Premium,H,VS2,61.2,58.0,6.75,6.64,4.1,5805
37328,0.4,Ideal,G,VS2,62.8,54.0,4.7,4.67,2.94,980
40235,0.44,Ideal,H,VVS1,61.1,57.0,4.87,4.92,2.99,1124
36011,0.39,Ideal,F,SI1,62.5,55.0,4.68,4.63,2.91,921
703,0.91,Fair,J,VS2,64.4,62.0,6.06,6.03,3.89,2854
1589,0.71,Very Good,E,VS1,63.4,58.0,5.64,5.68,3.59,3009
3778,1.01,Premium,G,SI2,61.5,58.0,6.51,6.44,3.98,3461
34184,0.33,Premium,G,VS1,62.0,59.0,4.42,4.36,2.72,854
42070,0.5,Very Good,F,VS2,63.0,57.0,5.02,5.1,3.19,1272
10342,1.06,Very Good,G,SI2,61.0,57.0,6.58,6.61,4.02,4769
47034,0.55,Ideal,F,VS2,61.1,57.0,5.3,5.27,3.23,1819
15063,1.22,Ideal,J,VS2,61.0,55.0,6.92,6.96,4.23,6052
4587,0.8,Ideal,F,VS2,62.0,55.0,5.93,6.0,3.7,3653
17974,1.32,Very Good,H,SI1,62.3,57.0,7.04,6.99,4.37,7270
47326,0.23,Very Good,D,VVS2,61.9,58.0,3.91,3.94,2.43,530
44368,0.51,Ideal,F,SI1,61.5,55.0,5.13,5.18,3.17,1580
34771,0.41,Ideal,D,SI2,62.6,55.0,4.8,4.76,2.99,876
2466,0.8,Ideal,E,VS2,61.4,55.0,5.96,5.99,3.67,3192
47332,0.23,Very Good,E,VVS1,60.9,58.0,3.95,3.96,2.41,530
19944,1.2,Very Good,G,VS2,63.2,56.0,6.82,6.75,4.29,8491
10035,0.24,Premium,E,VS2,62.6,58.0,3.99,4.03,2.51,417
30231,0.33,Ideal,E,VS2,62.3,57.0,4.4,4.43,2.75,723
38699,0.37,Premium,E,VS2,61.5,58.0,4.66,4.61,2.85,1041
30863,0.33,Premium,G,VS2,61.3,59.0,4.46,4.44,2.73,743
11232,0.9,Ideal,H,VS1,61.8,55.0,6.21,6.14,3.82,4964
20032,0.3,Very Good,H,SI1,59.5,62.0,4.32,4.35,2.58,421
10965,0.78,Very Good,E,VVS1,61.3,60.0,5.86,5.92,3.61,4904
40031,0.41,Ideal,G,SI1,62.1,55.0,4.78,4.81,2.98,1110
31457,0.34,Ideal,E,SI1,60.7,56.0,4.55,4.51,2.75,765
36611,0.32,Premium,G,SI1,59.6,60.0,4.43,4.46,2.65,477
42232,0.53,Very Good,F,SI1,60.9,56.0,5.21,5.23,3.18,1291
34633,0.31,Premium,E,VS2,60.3,58.0,4.42,4.37,2.65,872
49990,0.5,Ideal,E,VS1,61.7,57.0,5.11,5.13,3.16,2192
37274,0.35,Ideal,J,VS1,62.6,53.7,4.51,4.54,2.83,483
36864,0.39,Premium,D,VS2,61.3,58.0,4.7,4.73,2.89,958
1513,0.73,Ideal,D,SI1,61.4,56.0,5.78,5.82,3.56,2995
8932,1.01,Premium,F,SI2,61.6,58.0,6.4,6.39,3.94,4497
88,0.24,Premium,H,VVS2,60.7,58.0,4.07,4.04,2.46,554
41948,0.35,Good,H,SI1,63.3,54.0,4.51,4.53,2.86,504
13194,1.02,Premium,H,VS2,62.4,58.0,6.43,6.39,4.0,5454
47140,0.51,Premium,E,VS1,61.3,58.0,5.14,5.17,3.16,1831
49562,0.7,Very Good,F,SI2,62.9,56.0,5.68,5.71,3.58,2131
39652,0.37,Ideal,E,VS1,61.4,55.0,4.62,4.66,2.85,1087
39397,0.41,Ideal,G,VVS2,61.0,57.0,4.8,4.78,2.92,1076
5718,0.25,Very Good,E,VVS2,62.1,58.0,4.03,4.06,2.51,575
28507,0.3,Fair,G,VS1,64.4,61.0,4.2,4.16,2.69,673
40551,0.41,Ideal,D,VS1,61.3,54.0,4.8,4.83,2.95,1151
6900,0.9,Very Good,G,VS2,63.4,59.0,6.08,6.13,3.87,4135
12805,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5339
18968,1.01,Ideal,G,VVS2,62.4,59.0,6.34,6.41,3.98,7806
49658,0.71,Very Good,I,SI1,61.8,56.0,5.73,5.76,3.55,2141
44589,0.54,Ideal,D,SI1,62.1,55.0,5.18,5.23,3.23,1607
11045,0.25,Ideal,F,VS1,61.8,56.0,4.07,4.09,2.52,595
22113,1.5,Very Good,G,SI1,63.1,59.0,7.22,7.27,4.57,10139
9513,0.9,Ideal,D,SI1,62.7,56.0,6.18,6.16,3.87,4612
21705,0.31,Ideal,G,VS1,60.6,56.0,4.38,4.4,2.66,627
28502,0.29,Ideal,G,IF,60.6,57.0,4.28,4.31,2.6,673
35176,0.31,Ideal,G,IF,61.9,54.0,4.35,4.37,2.7,891
28306,0.3,Very Good,H,SI1,62.9,59.0,4.24,4.28,2.68,432
37098,0.41,Ideal,E,SI1,62.7,57.0,4.77,4.74,2.98,969
44490,0.5,Very Good,H,VS1,61.0,56.0,5.1,5.13,3.12,1598
47269,0.59,Ideal,G,VS2,61.9,56.0,5.39,5.44,3.35,1844
2813,1.0,Good,F,SI2,63.6,62.0,6.25,6.2,3.96,3265
12370,0.26,Ideal,E,VVS2,60.7,56.0,4.13,4.17,2.52,597
31296,0.32,Premium,D,VS2,61.7,59.0,4.38,4.43,2.72,758
29256,0.39,Ideal,I,VS2,60.8,56.0,4.72,4.75,2.88,698
5207,1.0,Fair,J,SI1,64.7,52.0,6.35,6.3,4.09,3780
37607,0.24,Very Good,F,VVS1,63.5,54.0,3.92,3.96,2.5,485
33247,0.36,Very Good,F,VS1,60.1,59.0,4.62,4.66,2.78,825
22727,1.5,Premium,I,VVS2,59.7,60.0,7.62,7.46,4.5,10744
23235,1.71,Premium,I,VS1,60.6,57.0,7.82,7.73,4.71,11246
12084,0.9,Ideal,F,VS2,62.3,57.0,6.18,6.21,3.86,5160
50239,0.71,Ideal,G,SI1,60.6,57.0,5.72,5.8,3.49,2233
44229,0.59,Premium,H,VS2,60.7,56.0,5.46,5.41,3.3,1572
29302,0.3,Ideal,I,VS2,62.1,54.0,4.32,4.35,2.69,438
44236,0.57,Ideal,H,VS2,60.2,59.0,5.35,5.38,3.23,1573
555,0.9,Premium,G,SI1,60.6,62.0,6.21,6.13,3.74,2830
9146,1.11,Ideal,H,SI2,63.5,60.0,6.58,6.49,4.15,4538
31071,0.33,Ideal,G,VVS2,61.7,55.0,4.42,4.46,2.74,752
4930,0.9,Very Good,I,SI1,60.6,56.0,6.23,6.28,3.79,3730
18402,1.59,Premium,I,VS2,62.0,58.0,7.44,7.39,4.6,7479
35226,0.33,Ideal,F,VVS1,61.7,54.0,4.46,4.49,2.76,893
42860,0.5,Very Good,F,VS2,60.8,61.0,5.04,5.09,3.08,1357
48108,0.5,Ideal,G,VVS2,62.1,55.0,5.09,5.05,3.15,1935
20335,1.5,Ideal,G,SI2,61.4,56.0,7.38,7.34,4.52,8736
8336,1.01,Premium,G,SI1,58.8,58.0,6.59,6.51,3.85,4395
27873,0.42,Premium,E,SI2,60.1,58.0,4.87,4.91,2.94,653
20571,1.21,Very Good,E,VS2,61.5,59.0,6.82,6.88,4.21,8886
7341,0.91,Good,E,SI1,63.5,57.0,6.07,6.11,3.87,4211
6865,0.9,Ideal,D,VS2,61.5,56.0,6.25,6.2,3.83,4128
22067,1.56,Premium,E,SI2,62.4,60.0,7.41,7.36,4.61,10090
30421,0.32,Very Good,H,VVS1,62.7,57.0,4.36,4.41,2.75,730
29840,0.3,Ideal,D,VS2,62.3,54.0,4.3,4.33,2.69,710
47329,0.23,Very Good,F,VVS1,59.3,58.0,4.02,4.04,2.39,530
13714,0.3,Ideal,E,VS2,62.0,57.0,4.26,4.29,2.65,603
5300,1.01,Ideal,J,SI2,61.6,55.0,6.5,6.45,3.99,3801
35047,0.42,Very Good,F,VS2,61.7,59.0,4.75,4.82,2.95,884
31032,0.31,Very Good,F,VS2,63.5,55.0,4.32,4.31,2.74,749
6961,0.9,Ideal,E,SI1,61.7,56.0,6.16,6.23,3.82,4147
28742,0.31,Ideal,E,VS2,61.8,55.0,4.33,4.35,2.68,680
11046,0.31,Ideal,E,SI1,60.6,56.0,4.39,4.42,2.67,595
16545,1.37,Very Good,G,SI2,62.8,57.0,7.06,7.12,4.45,6609
22496,1.71,Ideal,H,VS2,63.0,57.0,7.57,7.53,4.76,10534
33218,0.36,Very Good,G,VVS1,62.8,57.0,4.52,4.55,2.85,821
2074,0.81,Premium,H,VS1,61.7,58.0,5.98,5.95,3.68,3107
1897,0.71,Premium,D,VS2,60.3,62.0,5.76,5.69,3.45,3077
1034,0.86,Very Good,I,VS1,61.2,58.0,6.1,6.16,3.75,2905
5008,0.78,Very Good,F,VS1,61.7,55.0,5.89,5.94,3.65,3744
40892,0.51,Premium,E,SI2,61.8,58.0,5.08,5.11,3.15,1177
20279,1.2,Ideal,G,VS1,62.0,57.0,6.81,6.78,4.21,8701
9833,1.01,Premium,G,SI1,59.6,61.0,6.52,6.47,3.87,4672
43309,0.51,Premium,F,VS2,62.7,59.0,5.04,5.07,3.17,1402
28455,0.41,Good,G,SI1,63.4,57.0,4.7,4.73,2.99,671
19656,1.2,Premium,F,VS2,62.8,62.0,6.69,6.62,4.18,8266
22433,1.57,Ideal,I,VS2,62.8,57.0,7.46,7.37,4.66,10462
21396,1.51,Very Good,E,SI2,63.4,59.0,7.26,7.19,4.58,9513
30715,0.33,Ideal,F,VS1,61.2,57.0,4.46,4.49,2.74,738
38972,0.3,Ideal,E,VVS2,61.4,55.0,4.34,4.36,2.67,1053
6051,0.32,Ideal,I,VS2,63.0,56.0,4.42,4.38,2.77,576
32053,0.35,Ideal,D,SI1,61.1,56.0,4.55,4.59,2.79,780
47216,0.5,Premium,F,VS1,62.3,55.0,5.09,5.06,3.16,1838
42971,0.41,Ideal,E,VVS1,60.7,57.0,4.8,4.85,2.93,1367
38311,0.46,Ideal,J,VVS1,62.5,56.0,4.93,4.89,3.07,1018
42014,0.54,Ideal,I,VS2,60.1,58.0,5.28,5.34,3.19,1266
8067,0.31,Good,G,VS1,63.3,57.0,4.28,4.31,2.72,583
1050,0.33,Ideal,G,SI2,62.9,55.0,4.46,4.41,2.79,557
2642,0.81,Premium,F,SI1,61.0,59.0,6.01,5.99,3.66,3230
20936,1.11,Ideal,F,VS2,62.2,54.0,6.62,6.69,4.14,9144
31050,0.34,Ideal,G,VVS2,62.4,53.0,4.49,4.52,2.81,751
53003,0.7,Premium,F,SI1,59.5,57.0,5.81,5.79,3.45,2596
2807,0.72,Very Good,F,VS1,63.4,57.0,5.68,5.7,3.61,3264
45356,0.56,Ideal,D,SI1,61.2,57.0,5.37,5.35,3.28,1664
8526,1.0,Ideal,D,SI2,62.3,56.0,6.39,6.33,3.96,4427
14559,1.0,Premium,D,SI1,61.4,58.0,6.43,6.37,3.93,5880
53365,0.7,Very Good,G,VS2,63.1,55.0,5.64,5.61,3.55,2657
22849,1.5,Ideal,H,VS2,62.2,57.0,7.33,7.27,4.54,10886
19918,1.4,Premium,I,VVS2,62.0,58.0,7.22,7.16,4.46,8467
37775,0.41,Ideal,E,VS2,61.8,56.0,4.78,4.74,2.94,999
14167,1.19,Premium,I,VS1,59.9,61.0,6.91,6.85,4.12,5747
16195,1.07,Premium,G,VS2,62.1,58.0,6.59,6.55,4.08,6471
14357,1.07,Premium,F,SI1,61.7,56.0,6.66,6.5,4.06,5813
1683,0.72,Premium,G,VS1,58.9,58.0,5.93,5.85,3.47,3032
48508,0.54,Very Good,G,VVS1,60.6,55.0,5.28,5.31,3.21,1983
14298,1.01,Very Good,F,SI1,62.3,55.0,6.38,6.42,3.99,5789
16378,0.29,Very Good,F,VVS1,59.8,61.0,4.31,4.35,2.59,609
2441,0.79,Ideal,D,SI1,61.2,56.0,6.02,5.95,3.66,3185
49101,0.52,Very Good,F,VVS2,58.9,60.0,5.23,5.3,3.1,2064
5763,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,3897
22018,1.5,Ideal,H,VS1,61.3,55.0,7.37,7.34,4.51,10080
7370,1.01,Good,F,SI2,63.3,57.0,6.37,6.39,4.04,4221
48489,0.75,Premium,G,SI1,59.4,62.0,5.95,5.91,3.52,1980
41910,0.47,Ideal,E,VS2,61.7,56.0,5.01,4.98,3.08,1261
11025,1.1,Ideal,H,SI1,60.2,56.0,6.82,6.74,4.08,4916
37396,0.39,Good,G,VS2,63.8,59.0,4.66,4.59,2.95,982
34917,0.34,Ideal,F,VS2,62.1,56.0,4.51,4.47,2.79,880
18116,1.3,Very Good,I,VS1,62.1,59.0,6.97,7.01,4.34,7333
40251,0.6,Ideal,I,SI2,62.2,54.0,5.4,5.44,3.37,1125
4396,0.31,Good,D,SI1,63.7,54.0,4.31,4.35,2.76,571
28692,0.31,Very Good,F,VS1,59.7,55.0,4.42,4.46,2.65,679
52908,0.64,Ideal,G,VVS2,61.8,56.0,5.53,5.56,3.43,2587
41470,0.41,Ideal,D,VS1,62.1,56.0,4.8,4.77,2.97,1230
48203,0.53,Ideal,G,VVS2,61.7,56.0,5.2,5.23,3.22,1948
21777,1.09,Ideal,F,VVS2,62.5,55.0,6.6,6.52,4.1,9845
18675,1.34,Very Good,H,SI1,62.4,58.0,6.98,7.02,4.37,7636
14728,0.3,Good,G,VS1,63.1,56.0,4.24,4.26,2.68,605
46066,0.7,Very Good,F,I1,63.2,61.0,5.57,5.48,3.49,1736
53842,0.71,Ideal,H,VVS1,62.0,57.0,5.71,5.75,3.55,2739
14295,1.21,Good,E,SI2,64.0,62.0,6.65,6.59,4.24,5787
13183,1.18,Very Good,I,VS1,62.2,57.0,6.72,6.76,4.19,5451
41320,0.52,Ideal,I,VS2,61.9,55.0,5.19,5.21,3.22,1214
19316,1.01,Ideal,G,VVS2,61.1,57.0,6.49,6.54,3.98,8029
27770,0.32,Ideal,H,VS2,62.0,55.0,4.4,4.38,2.72,648
9540,1.13,Premium,H,SI2,61.1,59.0,6.73,6.65,4.09,4619
41019,0.25,Premium,G,SI2,59.0,60.0,5.33,5.28,3.12,1186
12727,1.02,Premium,H,VS2,62.5,60.0,6.43,6.38,4.0,5312
41178,0.4,Premium,G,VVS1,61.7,58.0,4.71,4.69,2.9,1200
3406,0.33,Good,D,SI1,63.1,55.0,4.42,4.46,2.8,567
8144,1.01,Premium,H,SI2,61.3,59.0,6.47,6.41,3.95,4355
6923,1.01,Premium,G,SI1,62.3,59.0,6.37,6.34,3.96,4138
8792,1.06,Very Good,D,SI2,60.9,58.0,6.57,6.63,4.02,4471
19948,1.66,Good,J,VS2,64.4,54.0,7.45,7.54,4.83,8496
33360,0.41,Very Good,I,VVS2,62.9,58.0,4.71,4.74,2.97,827
27043,0.32,Very Good,G,VS1,62.8,54.0,4.38,4.41,2.76,645
18322,1.0,Very Good,E,VS1,63.0,56.0,6.39,6.41,4.03,7453
32120,0.42,Very Good,D,SI1,62.3,58.0,4.8,4.83,3.0,784
10947,0.87,Ideal,G,VS2,61.8,56.0,6.11,6.13,3.78,4899
42988,0.6,Good,F,SI1,63.7,61.0,5.24,5.21,3.33,1367
17772,1.42,Ideal,I,SI1,61.9,57.0,7.23,7.15,4.45,7157
32634,0.36,Ideal,J,VS2,61.5,55.0,4.6,4.63,2.84,459
4538,1.0,Premium,H,SI2,59.1,62.0,6.5,6.47,3.83,3640
22156,1.58,Ideal,I,VS2,61.4,55.0,7.49,7.55,4.62,10197
15964,1.0,Very Good,G,VS2,63.8,58.0,6.31,6.35,4.04,6389
3635,0.71,Ideal,G,VS1,61.8,55.0,5.71,5.76,3.55,3431
44208,0.58,Ideal,F,SI1,60.9,55.0,5.39,5.41,3.29,1569
31048,0.42,Very Good,G,SI1,62.0,54.0,4.8,4.82,2.98,751
52970,0.4,Ideal,J,SI1,62.2,57.0,4.71,4.74,2.94,552
10130,1.12,Premium,H,SI1,61.6,58.0,6.72,6.62,4.11,4719
29003,0.34,Very Good,H,VVS2,62.7,59.0,4.43,4.47,2.79,686
16063,1.01,Premium,F,VS2,62.2,60.0,6.37,6.4,3.97,6416
42345,0.42,Ideal,H,VS1,61.0,57.0,4.85,4.89,2.97,1299
31188,0.32,Very Good,D,SI1,63.3,57.0,4.39,4.36,2.77,756
39346,0.38,Ideal,E,VVS2,61.8,54.2,4.66,4.69,2.89,1073
8320,1.0,Premium,E,SI2,62.2,59.0,6.38,6.35,3.96,4390
21906,1.58,Ideal,I,SI2,60.9,59.0,7.48,7.55,4.58,9973
37425,0.33,Ideal,G,IF,61.3,57.0,4.42,4.46,2.72,984
37666,0.42,Premium,E,SI1,62.5,55.0,4.83,4.8,3.01,992
3201,0.78,Ideal,E,SI1,61.6,56.0,5.94,6.0,3.68,3345
3854,0.72,Ideal,G,VS1,61.3,56.0,5.75,5.8,3.54,3478
34129,0.32,Ideal,D,VVS2,59.9,59.0,4.45,4.46,2.67,854
51925,0.9,Fair,J,SI1,64.6,61.0,5.92,5.87,3.81,2438
41487,0.52,Ideal,I,VS2,61.9,58.0,5.14,5.17,3.19,1232
19612,1.2,Very Good,F,VS2,61.1,58.0,6.82,6.86,4.18,8232
1492,0.72,Very Good,E,VS2,62.9,57.0,5.68,5.73,3.59,2990
36277,0.3,Ideal,G,SI1,62.3,57.0,4.29,4.31,2.68,477
4465,0.7,Very Good,D,VVS2,62.3,56.0,5.66,5.7,3.54,3622
37848,0.33,Ideal,E,VS1,62.6,57.0,4.42,4.4,2.76,1002
45443,0.7,Very Good,I,SI2,63.2,60.0,5.62,5.55,3.53,1672
35516,0.43,Very Good,I,VVS1,63.0,56.0,4.83,4.86,3.05,905
16365,0.33,Ideal,D,SI1,62.4,54.0,4.41,4.44,2.76,608
27821,0.34,Very Good,G,SI1,63.4,57.0,4.45,4.42,2.81,650
8145,0.96,Ideal,G,SI1,62.6,57.0,6.28,6.24,3.92,4355
31856,0.3,Ideal,H,VVS2,61.7,54.0,4.34,4.31,2.67,776
4766,0.93,Premium,G,SI2,62.2,55.0,6.27,6.24,3.89,3689
12420,1.09,Ideal,H,SI1,62.3,55.0,6.58,6.62,4.11,5238
19448,1.51,Good,I,SI1,63.7,61.0,7.11,7.15,4.54,8097
45380,0.5,Ideal,H,SI1,61.3,54.0,5.12,5.16,3.15,1666
30602,0.3,Premium,D,SI2,62.3,58.0,4.29,4.32,2.68,447
10590,0.91,Very Good,E,VS2,62.9,55.0,6.13,6.17,3.87,4823
44065,0.54,Good,D,SI1,63.2,55.0,5.17,5.21,3.28,1551
21349,1.56,Very Good,I,SI1,61.3,57.0,7.48,7.54,4.6,9494
272,0.7,Good,E,VS2,64.1,55.0,5.6,5.66,3.61,2793
42784,0.54,Premium,F,SI1,63.0,57.0,5.23,5.18,3.28,1349
20934,1.61,Ideal,J,VS2,61.6,56.0,7.52,7.54,4.64,9141
44544,0.5,Very Good,E,VS2,60.9,58.0,5.14,5.17,3.14,1605
280,0.72,Premium,D,SI2,62.0,60.0,5.73,5.69,3.54,2795
51727,0.72,Ideal,E,SI2,61.3,55.0,5.75,5.84,3.55,2401
6786,1.02,Premium,I,SI1,61.7,58.0,6.48,6.45,3.99,4113
20961,1.2,Ideal,F,VS2,62.7,57.0,6.71,6.76,4.22,9176
42656,0.4,Ideal,E,VVS1,61.5,56.0,4.75,4.78,2.93,1333
7407,0.33,Premium,E,SI1,61.1,58.0,4.43,4.47,2.72,579
30510,0.31,Premium,D,SI1,62.1,58.0,4.33,4.3,2.68,732
43241,0.49,Very Good,E,SI1,63.6,57.9,4.96,4.99,3.16,1400
998,0.74,Premium,D,VS2,61.8,58.0,5.81,5.77,3.58,2897
43879,0.52,Very Good,D,SI1,63.8,56.0,5.06,5.1,3.24,1452
30515,0.31,Good,D,SI1,63.9,54.0,4.3,4.27,2.74,732
51224,0.7,Premium,G,SI1,62.0,61.0,5.71,5.68,3.53,2352
31588,0.35,Premium,E,VS2,60.4,60.0,4.52,4.55,2.74,767
10332,1.01,Good,E,SI1,64.3,59.0,6.31,6.34,4.07,4766
49179,0.78,Premium,H,SI2,59.7,59.0,6.03,5.97,3.58,2074
37121,0.42,Ideal,D,SI1,61.9,55.0,4.84,4.79,2.98,970
16702,0.3,Very Good,H,SI1,61.6,62.0,4.24,4.3,2.63,421
39037,0.37,Ideal,G,IF,61.2,56.0,4.65,4.67,2.85,1056
22410,1.52,Premium,D,SI2,59.8,60.0,7.42,7.5,4.46,10433
42123,0.5,Ideal,H,VS2,62.3,54.0,5.11,5.13,3.19,1279
16121,1.36,Ideal,D,SI2,61.2,57.0,7.15,7.19,4.39,6443
6437,0.91,Premium,G,SI1,62.2,59.0,6.15,6.19,3.84,4045
370,0.75,Very Good,G,VS2,63.4,56.0,5.78,5.74,3.65,2808
23190,1.29,Ideal,F,VS1,60.7,57.0,7.08,7.05,4.29,11197
45090,0.59,Ideal,D,SI1,62.5,55.0,5.4,5.42,3.38,1646
13133,1.11,Premium,H,SI1,62.5,58.0,6.64,6.61,4.14,5433
3545,0.79,Ideal,G,VS1,62.0,56.0,5.91,5.93,3.67,3413
30173,0.38,Ideal,G,VS2,61.0,55.0,4.67,4.71,2.86,721
34428,0.3,Ideal,G,IF,62.2,55.0,4.31,4.34,2.69,863
20423,1.6,Ideal,H,SI2,61.5,55.0,7.53,7.55,4.64,8779
22229,1.59,Ideal,H,SI1,61.4,55.0,7.56,7.51,4.63,10284
22837,1.05,Ideal,F,VVS1,61.6,55.0,6.57,6.53,4.04,10872
50391,0.72,Ideal,H,SI2,60.8,56.0,5.79,5.83,3.53,2252
34140,0.33,Ideal,F,VS2,60.5,55.0,4.55,4.47,2.73,854
2789,0.72,Ideal,H,IF,61.4,56.0,5.76,5.8,3.55,3257
18846,1.01,Ideal,E,VS1,61.5,57.0,6.47,6.44,3.97,7727
32849,0.4,Premium,H,VS1,62.6,58.0,4.66,4.73,2.94,807
20248,1.23,Ideal,F,VS1,61.3,57.0,6.93,6.86,4.23,8679
36035,0.41,Premium,G,SI1,62.7,55.0,4.8,4.77,3.0,923
37291,0.31,Premium,G,VVS1,59.8,62.0,4.41,4.35,2.62,977
14533,1.24,Ideal,I,SI2,61.8,58.0,6.85,6.9,4.25,5866
20610,1.53,Premium,I,SI1,60.8,59.0,7.54,7.49,4.57,8911
5378,0.34,Premium,I,SI1,61.8,57.0,4.51,4.46,2.77,574
36308,0.32,Premium,H,VVS1,60.9,58.0,4.43,4.4,2.69,936
29629,0.27,Very Good,G,VVS2,61.9,57.0,4.12,4.15,2.56,442
48331,0.7,Very Good,J,SI1,61.1,60.0,5.66,5.7,3.47,1959
8076,1.01,Good,D,SI2,63.6,57.0,6.34,6.3,4.02,4338
46116,0.59,Ideal,F,VS2,62.9,55.0,5.39,5.32,3.37,1743
44241,0.51,Premium,F,VS2,62.4,58.0,5.13,5.1,3.19,1574
18717,0.3,Very Good,G,VS1,62.9,55.0,4.25,4.27,2.68,620
38251,0.31,Very Good,J,VS2,62.3,60.0,4.29,4.34,2.69,380
18627,1.02,Premium,G,VVS2,62.6,59.0,6.41,6.46,4.03,7602
17711,0.41,Ideal,J,VS2,62.4,53.0,4.79,4.83,3.0,613
31924,0.3,Ideal,G,VS1,62.8,57.0,4.26,4.24,2.67,776
36021,0.53,Very Good,I,SI1,59.7,63.0,5.22,5.3,3.14,923
32736,0.31,Ideal,F,VS2,62.6,57.0,4.33,4.27,2.69,802
16105,1.01,Ideal,G,VS2,61.9,56.0,6.42,6.46,3.99,6439
50032,0.74,Very Good,H,SI2,62.8,59.0,5.72,5.77,3.61,2198
2436,0.73,Very Good,E,VS2,62.9,58.0,5.7,5.75,3.6,3184
50086,0.72,Very Good,H,VS1,62.8,56.0,5.72,5.77,3.61,2206
37261,0.32,Very Good,I,SI2,63.4,56.0,4.37,4.34,2.76,480
327,0.72,Premium,E,VS2,63.0,55.0,5.79,5.61,3.59,2802
17031,1.05,Very Good,E,VS2,61.6,58.0,6.48,6.53,4.01,6803
19819,1.33,Ideal,H,VS2,59.5,57.0,7.18,7.23,4.29,8385
538,0.79,Premium,H,VVS2,62.6,58.0,5.96,5.9,3.71,2827
12202,1.23,Very Good,I,SI2,62.6,59.0,6.78,6.86,4.27,5191
38597,0.38,Ideal,E,VS2,61.7,54.0,4.66,4.68,2.88,1038
10832,0.9,Ideal,G,SI1,61.9,57.0,6.16,6.19,3.82,4871
11721,0.34,Ideal,E,SI1,61.8,56.0,4.45,4.48,2.76,596
14717,0.3,Ideal,F,VS2,60.7,56.0,4.32,4.34,2.63,605
28761,0.31,Ideal,E,VS2,62.4,54.0,4.31,4.35,2.7,680
28333,0.33,Ideal,H,VVS2,62.2,54.0,4.44,4.46,2.77,666
13191,1.07,Premium,G,SI1,61.6,58.0,6.6,6.56,4.05,5453
14118,1.01,Good,E,SI1,63.9,56.0,6.37,6.31,4.05,5724
18388,0.29,Very Good,E,VS1,59.2,58.0,4.36,4.39,2.59,619
22301,1.0,Very Good,F,IF,60.1,57.0,6.45,6.52,3.9,10346
20303,1.64,Premium,I,SI1,62.4,58.0,7.58,7.52,4.71,8716
51749,0.78,Very Good,H,SI2,62.6,59.0,5.81,5.85,3.65,2405
17234,0.9,Very Good,E,VVS2,63.7,57.0,6.1,6.12,3.89,6892
10457,1.0,Premium,H,SI1,62.7,59.0,6.37,6.3,3.97,4788
13750,1.1,Premium,D,SI1,58.8,61.0,6.73,6.67,3.94,5606
8448,1.01,Premium,E,SI2,59.1,60.0,6.57,6.55,3.88,4412
35503,0.41,Ideal,E,SI1,61.8,56.0,4.78,4.77,2.95,904
19824,1.31,Ideal,H,VS1,62.4,56.0,7.0,6.98,4.36,8392
28325,0.33,Ideal,G,VS1,62.1,55.0,4.43,4.46,2.76,666
2586,1.1,Ideal,I,SI2,61.7,56.0,6.65,6.6,4.09,3216
23339,1.01,Premium,E,IF,62.6,58.0,6.37,6.44,4.01,11387
16281,1.11,Ideal,F,SI1,61.1,57.0,6.67,6.69,4.08,6512
2503,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3199
1844,0.7,Very Good,E,VS1,62.2,57.0,5.63,5.68,3.52,3063
34481,0.4,Very Good,F,VS2,63.6,56.0,4.66,4.68,2.97,867
11775,1.02,Ideal,G,SI1,62.2,56.0,6.44,6.46,4.01,5082
20797,1.28,Premium,G,VS2,62.2,59.0,6.94,6.89,4.3,9032
35641,0.31,Ideal,G,VVS2,61.9,55.0,4.36,4.33,2.69,907
53221,0.74,Very Good,E,SI2,59.9,59.0,5.93,5.95,3.56,2638
33854,0.3,Premium,E,VS2,60.0,58.0,4.4,4.37,2.63,844
19840,1.21,Premium,G,VS2,62.8,59.0,6.84,6.76,4.27,8402
39422,0.41,Ideal,F,VS1,61.8,56.0,4.79,4.75,2.95,1076
48708,0.7,Very Good,G,SI1,61.7,57.0,5.65,5.8,3.53,2010
48692,0.76,Very Good,D,SI2,59.1,63.0,5.91,5.84,3.47,2006
21863,1.5,Ideal,I,SI1,61.5,57.0,7.4,7.35,4.54,9926
1837,0.71,Fair,G,VVS1,62.8,57.0,5.67,5.57,3.53,3062
31830,0.34,Ideal,H,VVS1,61.8,57.0,4.44,4.46,2.75,775
28169,0.28,Ideal,F,VS1,62.0,53.0,4.23,4.26,2.63,665
